9780080450155;Radioactivity in the Environment
9780444595287;Chemometrics in Food Chemistry
9780444563644;Phase Equilibrium Engineering
9781455748150;Cardiology Secrets (Fourth Edition)
9781597499989;Applied Cyber Security and the Smart Grid
9780123971678;Managing Data in Motion
9780123948137;Writing for Interaction
9780080983356;Analysis of Turbulent Flows with Computer Programs (Third Edition)
9780123970121;Msp430-based Robot Applications
9780080993867;Multi-criteria Decision Analysis for Supporting the Selection of Engineering Materials in Product Design
9780124058651;Human-computer Interaction
9780124072305;Geomaterials Under the Microscope
9780444529022;Peripheral Nerve Disorders
9780124158948;Animal Models for the Study of Human Disease
9780124071940;Chemistry of Plant Phosphorus Compounds
9780124046276;Cloud Computing
9780124051904;Human Motion Simulation
9780124058767;Matlab (Third Edition)
9780123970244;Electromagnetic Surface Waves
9780123964618;Computational Toxicology
9781455746170;National Kidney Foundation Primer on Kidney Diseases (Sixth Edition)
9780123985293;Integrated Pest Management
9780124166813;Cyber Security and IT Infrastructure Protection
9780124166882;Managing Information Security (Second Edition)
9780124166899;Network and System Security (Second Edition)
9780124103924;Credible Checklists and Quality Questionnaires
9780124055476;Total Information Risk Management
9780124046092;Research Approaches to Sustainable Biomass Systems
9781856176330;The Finite Element Method: its Basis and Fundamentals (Seventh Edition)
9780124059399;Spatial Capture-recapture
9780124095373;Venture Capital and Private Equity Contracting (Second Edition)
9780123979285;Placebo and Pain
9781597497428;Digital Forensics Processing and Procedures
9780444531186;Mid-Latitude Slope Deposits (Cover Beds)
9780444538338;Heterogeneous Catalysis of Mixed Oxides
9780124016675;Building the Most Complex Structure on Earth
9780123970312;Advanced Water Injection for Low Permeability Reservoirs
9780123965479;Rabies (Third Edition)
9780124077836;Powering Biomedical Devices
9780124165540;The Compliance Response to Misconduct Allegations (Second Edition)
9780124116481;Business Continuity (Second Edition)
9780124116498;Nine Practices of the Successful Security Leader
9780124115934;International Security Programs Benchmark Report
9780124115927;Bring your Own Device (BYOD) to Work
9780124165519;Domestic Violence Spills Over Into the Workplace
9780124165526;Establishing the Value of All-hazards Risk Mitigation
9780124115941;From One Winning Career to the Next (Second Edition)
9780124165533;Managing Risks in Business
9780124115873;Crisis Management At the Speed of the Internet
9780123877376;Tomato Diseases (Second Edition)
9780124160040;Immune Biology of Allogeneic Hematopoietic Stem Cell Transplantation
9780123859006;Nutrigenetics
9780123849311;The Dictionary of Cell & Molecular Biology (Fifth Edition)
9780123969934;Transforming your Stem Career Through Leadership and Innovation
9780444595508;Encyclopedia of the Alkaline Earth Compounds
9780444563514;Practical Approaches to Biological Inorganic Chemistry
9780124058941;Heterogeneous Computing with Opencl (Second Edition)
9780123970336;Measuring Data Quality for Ongoing Improvement
9780124055186;Geology and Sedimentology of the Korean Peninsula
9780123971623;Unconventional Petroleum Geology
9780124159785;Sustainable Energy Management
9780123978882;Analog Circuit Design
9780124159969;Linux for Embedded and Real-time Applications (Third Edition)
9780123870001;Pressure Vessel Design Manual (Fourth Edition)
9780123858740;Biogeochemistry (Third Edition)
9780123859693;Designing Science Presentations
