5 1472493482 112619656.000000000 Pa
1 1472493256 76.160003662 A
9 1472497823 275.500000000 Cd
3 1472499700 0.000002975 F
5 1472500286 110297336.000000000 Pa
2 1472501765 8595824.000000000 OHM
1 1472492013 25.530000687 A
8 1472498256 11.100000381 m/seg2
4 1472495638 823436352.000000000 Hz
8 1472497480 8.500000000 m/seg2
7 1472499691 2.900000095 m/seg
1 1472496532 15.329999924 A
9 1472501056 189.800003052 Cd
5 1472493481 112366264.000000000 Pa
5 1472500557 106195728.000000000 Pa
0 1472498234 153.000000000 V
4 1472499476 960309184.000000000 Hz
0 1472500550 6.650000095 V
8 1472498028 1.500000000 m/seg2
7 1472494931 46.200000763 m/seg
8 1472491931 18.100000381 m/seg2
4 1472497842 348594016.000000000 Hz
6 1472493156 493.799987793 N
8 1472500572 12.699999809 m/seg2
0 1472494785 209.440002441 V
5 1472494355 115522872.000000000 Pa
9 1472500005 345.100006104 Cd
4 1472496712 793820096.000000000 Hz
9 1472498490 244.399993896 Cd
9 1472495575 189.899993896 Cd
1 1472491944 75.400001526 A
4 1472501063 374188608.000000000 Hz
7 1472500987 1.100000024 m/seg
6 1472493021 156.500000000 N
3 1472495494 0.000002880 F
7 1472493515 8.500000000 m/seg
2 1472492812 1824602.000000000 OHM
1 1472493195 29.909999847 A
5 1472494672 115700160.000000000 Pa
5 1472495273 108729176.000000000 Pa
9 1472496566 254.899993896 Cd
6 1472493807 395.600006104 N
3 1472493743 0.000001271 F
8 1472500307 13.600000381 m/seg2
8 1472492951 9.300000191 m/seg2
4 1472492212 68006152.000000000 Hz
2 1472500245 7227784.000000000 OHM
5 1472499936 106361784.000000000 Pa
7 1472491893 25.700000763 m/seg
5 1472500209 108373456.000000000 Pa
7 1472497175 48.099998474 m/seg
6 1472499481 282.500000000 N
0 1472493128 40.979999542 V
0 1472493077 188.089996338 V
1 1472492584 96.739997864 A
5 1472498164 119606568.000000000 Pa
3 1472495458 0.000004439 F
8 1472500779 9.600000381 m/seg2
4 1472499556 295154656.000000000 Hz
6 1472495633 487.700012207 N
4 1472499883 824925824.000000000 Hz
3 1472498288 0.000014919 F
7 1472497035 0.100000001 m/seg
7 1472501004 49.299999237 m/seg
2 1472500996 1575145.000000000 OHM
4 1472492088 44501064.000000000 Hz
8 1472499466 1.799999952 m/seg2
7 1472494004 2.799999952 m/seg
6 1472500511 378.399993896 N
0 1472498995 88.180000305 V
5 1472493850 110791208.000000000 Pa
1 1472499001 30.659999847 A
0 1472496075 119.050003052 V
6 1472495620 234.699996948 N
8 1472499629 9.000000000 m/seg2
2 1472492932 4095759.000000000 OHM
2 1472501157 8723541.000000000 OHM
1 1472495194 16.610000610 A
1 1472499681 39.419998169 A
